"","MMA001A","MMA001B","MMA002B","MMA003A","MMA003B","MMA004A","MMA004B","MMA005A","MMA005B","MMA006A","MMA006B","MMA007A","MMA007B","MMA008A","MMA008B","MMA009A","MMA009B","MMA010A","MMA010B","MMA011A","MMA011B","MMA012A","MMA012B","MMA013A","MMA013B","MMA014A","MMA014B","MMA015A","MMA015B","MMA016A","MMA016B","MMA017A","MMA017B","MMA018A","MMA018B","MMA018C","MMA018D","MMA019A","MMA019B","MMA020A","MMA020B","MMA021A","MMA021B","MMA022A","MMA022B","MMA023A","MMA023B","MMA024A","MMA024B","MMA025A","MMA025B","MMA026A","MMA026B","MMA027A","MMA027B","MMA028A","MMA028B","MMA029A","MMA029B","MMA030A","MMA030B","MMA031A","MMA031B","MMA032A","MMA032B","MMA033B","MMA034A","MMA034B","MMA035A","MMA035B","MMB001A","MMB001B","MMB002A","MMB002B","MMB003A","MMB003B","MMB004A","MMB004B","MMB005A","MMB005B","MMB006A","MMB006B","MMB007A","MMB007B","MMB008A","MMB008B","MMB008C","MMB009A","MMB009B","MMB010A","MMB010B","MMB011A","MMB011B","MMB012A","MMB012B","MMB013A","MMB013B","MMB014A","MMB014B","MMB015A","MMB015B","MMB016A","MMB016B","MMB016C","MMB018A","MMB018B","MMB019A","MMB020A","MMB020B","MMB021A","MMB021B","MMB022A","MMB022B","MMB023A","MMB023B","MMB024A","MMB024B","MMB025A","MMB025B","MMB026A","MMB026B","MMC001A","MMC001B","MMC002A","MMC002B","MMC003A","MMC003B","MMC005A","MMC006A","MMC006B","MMC007A","MMC007B","MMC008A","MMC008B","MMC010A","MMC010B","MMC011A","MMC011B","MMC012A","MMC012B","MMC013A","MMC013B","MMC014A","MMC014B","MMC015A","MMC015B","MMC016A","MMC016B","MMC017A","MMC017B","MMC018A","MMC018B","MMC019A","MMC019B","MMC020A","MMC020B","MMC021B","MMC022A","MMC022B","MMC023A","MMC023B","MMC024A","MMC024B","MMC025A","MMC025B","MMC026A","MMC026B","MMC026C","MMC027A","MMC027B","MMC029A","MMC029B","MMC030A","MMC030B","MMC031A","MMC031B","MMC032A","MMC032B","MMC033A","MMC033B"
"2014",29.47,29.47,12.39,33.27,33.27,15.89,15.89,20.1,20.1,31.21,31.21,51.27,51.27,24.98,24.98,32.89,32.89,28.18,28.18,10.88,10.88,21.78,21.78,15.91,15.91,35.42,35.42,24.9,24.9,39.62,39.62,30.78,30.78,97.27,97.27,97.27,97.27,29.78,29.78,38.29,38.29,20.66,20.66,43.22,43.22,24.8,24.8,64.39,64.39,40.4,40.4,21.17,21.17,30.12,30.12,46.51,46.51,33.6,33.6,61.4,61.4,52.37,52.37,60.15,60.15,39.78,22.5,22.5,31.68,31.68,75.8,75.8,22.9,22.9,26.5,26.5,59.4,59.4,17.5,17.5,53.4,53.4,37.1,37.1,77.3,77.3,77.3,53.5,53.5,30,30,49.4,49.4,24.3,24.3,33.4,33.4,24.5,24.5,21.2,21.2,87.4,87.4,87.4,33.5,33.5,41.5,42.3,42.3,38.4,38.4,45.5,45.5,26.3,26.3,59.2,59.2,44.4,44.4,27.8,27.8,39.8,39.8,22.1,22.1,23.1,23.1,15.2,45.7,45.7,16.4,16.4,13.8,13.8,51.8,51.8,35.8,35.8,12.3,12.3,35.1,35.1,24.8,24.8,10.9,10.9,91.8,91.8,25.74,25.74,23.6,23.6,26.7,26.7,41.1,41.1,47.7,20.3,20.3,28.7,28.7,55.6,55.6,26,26,48.8,48.8,48.8,37.4,37.4,35.2,35.2,44.5,44.5,30.2,30.2,51.2,51.2,58.6,58.6
"2013",29.444,29.358,12.39,33.27,33.27,15.846,15.858,20.082,20.09,31.21,31.21,51.052,51.096,24.98,24.98,32.852,32.862,28.18,28.18,10.88,10.88,21.78,21.78,15.91,15.91,35.204,35.2,24.866,24.856,39.62,39.586,30.78,30.78,97.023,97.044,97.037,97.065,29.78,29.78,38.146,38.25,20.548,20.66,43.11,43.13,24.712,24.754,64.39,64.39,40.4,40.4,21.028,21.012,30.12,30.12,46.51,46.51,33.6,33.6,60.938,61.162,52.32,52.29,60.012,59.98,39.78,22.5,22.5,31.68,31.68,75.784,75.8,22.9,22.9,26.454,26.478,59.366,59.336,17.482,17.49,53.286,53.228,37.1,37.1,77.3,77.3,77.3,53.366,53.338,29.94,30,49.4,49.4,24.27,24.272,33.326,33.28,24.34,24.38,21.2,21.2,87.4,87.4,87.4,33.464,33.5,41.472,42.3,42.3,38.4,38.4,45.426,45.47,26.3,26.274,58.92,58.966,44.4,44.4,27.8,27.8,39.8,39.8,22.1,22.088,23.032,22.988,15.156,45.7,45.7,16.372,16.4,13.8,13.8,51.726,51.71,35.742,35.75,12.3,12.3,34.996,35.016,24.8,24.786,10.9,10.9,91.616,91.666,25.638,25.63,23.51,23.512,26.7,26.7,41.1,41.1,47.7,20.196,20.184,28.67,28.676,55.412,55.396,26,26,48.8,48.8,48.8,37.4,37.4,35.2,35.2,44.466,44.444,30.2,30.12,51.118,51.14,58.4,58.424
"2012",29.374,29.208,12.346,33.196,33.148,15.746,15.726,19.934,19.942,31.088,31.058,50.22,50.008,24.908,24.862,32.63,32.508,28.18,28.18,10.774,10.862,21.754,21.744,15.88,15.874,34.722,34.352,24.808,24.824,39.49,39.494,30.664,30.726,96.362,96.621,96.527,96.844,29.664,29.692,37.972,38.066,20.502,20.606,42.49,42.508,24.632,24.696,64.3484,64.39,40.192,40.252,20.684,20.694,29.992,30.02,46.286,46.126,33.554,33.464,60.286,60.624,51.924,51.936,59.682,59.642,39.678,22.47,22.472,31.598,31.626,75.606,75.57,22.738,22.746,26.044,26.296,58.534,58.794,17.468,17.482,52.87,52.624,37.026,36.938,77.166,77.176,77.154,53.024,53.02,29.848,29.916,49.038,49.168,24.06,24.076,32.772,32.96,23.886,24.008,21.2,21.2,87.184,87.228,87.21,32.962,33,41.292,42.074,42.192,38.316,38.304,45.038,45.346,26.152,26.232,58.304,58.494,44.192,44.184,27.744,27.714,39.8,39.698,22.07,22.038,22.904,22.73,15.086,45.538,45.52,16.104,16.4,13.764,13.792,51.594,51.514,35.676,35.684,12.23,12.276,34.636,34.796,24.8,24.746,10.84,10.834,91.21,91.278,25.044,24.97,23.242,23.368,26.7,26.7,41.012,41.024,47.634,19.856,19.81,27.854,28.158,54.702,54.75,25.938,25.924,48.7,48.704,48.698,37.234,37.222,35.128,35.022,44.42,44.388,30.2,30.032,50.914,50.922,58,58.018
"2011",29.288,28.944,12.332,33.05,32.988,15.666,15.64,19.844,19.806,30.94,30.902,49.732,49.324,24.792,24.746,32.402,32.218,28.064,27.98,10.698,10.796,21.688,21.696,15.85,15.828,34.168,33.75,24.746,24.786,39.394,39.348,30.518,30.666,95.813,96.258,96.105,96.337,29.494,29.518,37.824,37.802,20.484,20.552,42.158,41.958,24.544,24.64,64.1848,64.39,39.972,40.142,20.424,20.448,29.736,29.982,46.072,45.914,33.42,33.292,59.93,60.242,51.618,51.544,59.356,59.344,39.656,22.416,22.458,31.512,31.566,75.436,75.404,22.596,22.622,25.886,26.188,57.942,58.372,17.448,17.462,52.608,52.248,36.908,36.748,77.086,77.074,77.034,52.81,52.792,29.702,29.868,48.872,49.05,23.948,23.966,32.522,32.75,23.606,23.674,21.2,21.2,87.03,87.078,86.974,32.678,32.772,41.16,41.918,42.02,38.21,38.198,44.82,45.236,26.048,26.086,57.734,57.93,44.192,43.858,27.674,27.66,39.8,39.604,22.054,22.016,22.762,22.556,14.984,45.484,45.356,15.938,16.386,13.604,13.592,51.434,51.36,35.62,35.606,12.16,12.26,34.274,34.528,24.8,24.658,10.802,10.754,90.908,90.982,24.724,24.53,23.06,23.254,26.7,26.7,40.84,40.884,47.112,19.592,19.566,27.596,28.018,54.298,54.238,25.838,25.798,48.644,48.622,48.578,37.068,37.104,35.014,34.754,44.374,44.318,30.14,29.944,50.712,50.682,57.724,57.684
"2010",29.108,28.678,12.314,32.782,32.67,15.57,15.554,19.694,19.63,30.748,30.762,48.89,48.492,24.704,24.65,32.164,31.95,27.964,27.828,10.546,10.75,21.632,21.672,15.842,15.748,33.41,32.878,24.698,24.728,39.394,39.258,30.372,30.62,95.302,95.898,95.66,95.91,29.126,29.386,37.556,37.5,20.474,20.496,41.78,41.426,24.486,24.586,63.9194,64.39,39.776,40.102,20.272,20.294,29.564,29.718,45.796,45.74,33.306,33.1,59.552,59.794,51.402,51.248,58.774,58.848,39.548,22.356,22.378,31.424,31.446,75.182,75.142,22.468,22.466,25.682,26.058,57.382,57.926,17.432,17.45,52.23,51.8,36.862,36.748,76.862,76.848,76.748,52.588,52.562,29.662,29.836,48.526,48.874,23.836,23.87,32.29,32.516,23.268,23.14,21.2,21.2,86.738,86.774,86.184,32.338,32.506,40.916,41.39,41.476,37.936,37.95,44.628,45.122,26.048,26.086,57.084,57.406,44.058,43.57,27.628,27.568,39.8,39.414,22.036,21.998,22.592,22.298,14.868,45.276,45.064,15.788,16.192,13.508,13.446,51.282,51.036,35.552,35.516,12.126,12.25,33.966,33.84,24.8,24.62,10.744,10.7,90.484,90.636,24.31,23.63,22.806,23.158,26.7,26.7,40.526,40.678,46.608,19.352,19.276,27.254,27.822,53.668,53.512,25.804,25.7,48.512,48.414,48.264,36.65,36.802,34.872,34.472,44.338,44.212,30.048,29.852,50.432,50.486,57.334,57.186
"2009",28.878,28.356,12.264,32.516,32.334,15.392,15.428,19.534,19.362,30.424,30.508,47.838,47.298,24.564,24.51,31.886,31.72,27.836,27.63,10.464,10.734,21.536,21.63,15.756,15.664,32.7,32.25,24.644,24.674,39.224,39.018,30.092,30.37,94.747,95.617,95.171,95.484,28.612,29.058,37.15,36.726,20.41,20.442,41.134,40.846,24.41,24.55,63.4276,63.601,39.308,39.418,20.052,20.1,29.356,29.524,45.37,45.032,33.208,32.886,59.068,59.22,51.008,50.852,58.222,58.232,39.47,22.274,22.334,31.35,31.356,74.746,74.51,22.338,22.314,25.45,25.858,56.528,57.372,17.414,17.44,51.898,51.158,36.77,36.656,76.516,76.354,76.298,52.312,52.226,29.602,29.656,47.89,48.56,23.688,23.756,32.034,32.266,22.87,22.61,21.2,21.2,86.394,86.266,85.018,32.072,32.276,40.772,40.21,40.522,37.304,37.168,44.34,44.956,25.966,25.938,56.126,56.686,43.852,43.244,27.546,27.472,39.8,38.75,22.014,21.978,22.36,22.054,14.752,44.942,44.526,15.43,16.008,13.454,13.388,51.096,50.828,35.478,35.47,11.962,12.242,33.598,33.522,24.782,24.484,10.612,10.626,90.136,90.366,23.792,23.262,22.444,23.006,26.7,26.7,40.156,40.278,46.328,19.106,18.972,26.832,27.556,53.016,52.514,25.698,25.636,48.27,48.158,47.87,36.17,36.474,34.516,34.08,44.26,44.108,29.952,29.708,50.158,50.14,56.804,56.556
"2008",28.616,27.95,12.168,32.318,32.178,15.2,15.268,19.37,19.106,30.032,30.192,47.058,46.508,24.456,24.38,31.502,31.366,27.652,27.294,10.206,10.656,21.472,21.55,15.666,15.542,32.002,31.674,24.538,24.6,39.082,38.798,30.008,30.126,94.089,95.277,94.682,95.063,28.242,28.684,36.838,35.956,20.27,20.298,40.456,40.39,24.344,24.488,62.9524,62.7462,38.854,38.66,19.842,19.888,29.174,29.226,44.89,44.75,33.102,32.436,58.3,58.49,50.676,50.278,57.772,57.72,39.344,22.146,22.276,31.21,31.204,74.406,74.084,22.214,22.116,25.29,25.704,55.36,56.962,17.402,17.43,51.536,50.702,36.696,36.616,76.156,75.824,75.88,52.006,51.802,29.436,29.38,47.184,48.004,23.544,23.626,31.696,32.002,22.614,22.29,21.2,21.2,86.072,85.268,84.284,31.744,32.064,40.588,39.238,39.518,36.772,36.494,44.094,44.826,25.872,25.862,55.662,56.23,43.726,42.968,27.47,27.364,39.8,38.184,21.99,21.942,22.174,21.818,14.586,44.776,44.132,15.206,15.926,13.366,13.334,50.944,50.52,35.418,35.382,11.904,12.224,33.088,33.194,24.738,24.338,10.518,10.58,89.674,89.914,23.392,22.794,22.152,22.898,26.7,26.7,39.848,39.862,45.586,18.85,18.724,26.474,27.32,52.238,51.668,25.602,25.604,48.104,47.916,47.504,35.68,36.118,34.34,33.688,44.182,44.008,29.822,29.646,49.89,49.862,56.428,56.098
"2007",28.2,27.72,11.992,31.764,31.798,14.954,15.114,18.958,18.65,29.612,29.74,46.566,45.858,24.332,24.098,31.106,30.95,27.388,26.96,9.814,10.53,21.348,21.512,15.51,15.398,31.356,31.068,24.404,24.526,38.876,38.502,29.686,29.658,93.529,94.896,94.242,94.543,27.744,28.382,36.348,35.268,20.126,20.09,39.824,39.874,24.278,24.43,62.3736,61.9868,38.322,37.956,19.644,19.654,29.004,29.024,44.316,44.298,32.94,31.884,57.746,57.772,50.26,49.712,57.27,57.206,39.284,22.062,22.19,31.11,30.92,74.172,73.868,22.068,21.854,25.17,25.524,54.302,56.588,17.388,17.42,51.208,50.144,36.544,36.588,75.848,75.47,75.408,51.706,51.378,29.294,29.292,46.548,47.82,23.204,23.436,31.392,31.734,22.314,21.81,21.184,21.156,85.846,85.038,83.794,31.36,31.804,40.408,38.378,38.866,36.206,35.994,43.876,44.622,25.756,25.764,55.14,55.78,43.542,42.678,27.406,27.282,39.8,37.668,21.95,21.874,21.88,21.506,14.438,44.514,43.626,14.978,15.726,13.316,13.272,50.73,50.28,35.316,35.256,11.86,12.208,32.09,32.782,24.682,24.246,10.472,10.542,89.266,89.46,22.98,22.306,21.886,22.792,26.7,26.7,39.406,39.55,45.138,18.606,18.462,26,26.9,51.586,50.858,25.506,25.552,47.966,47.74,47.122,35.328,35.752,34.124,33.156,44.086,43.916,29.684,29.514,49.582,49.558,55.918,55.516
"2006",28.066,27.326,11.798,31.416,31.518,14.73,14.99,18.784,18.434,29.252,29.494,45.724,44.884,24.276,24.076,30.888,30.674,27.152,26.69,9.372,10.414,21.16,21.424,15.386,15.218,30.736,30.468,24.286,24.446,38.668,38.326,29.602,29.43,93.082,94.606,93.814,94.131,27.364,28.002,35.79,34.596,19.916,19.834,39.428,39.444,24.172,24.378,62.121,61.513,37.75,37.196,19.36,19.428,28.748,28.754,43.908,44.048,32.838,31.594,57.14,57.088,49.934,49.098,56.762,56.704,39.22,21.97,22.126,31.042,30.604,73.972,73.664,21.932,21.736,25.078,25.398,53.324,56.164,17.376,17.402,50.91,49.628,36.466,36.436,75.562,75.304,75.07,51.388,50.948,29.192,29.138,45.812,47.424,22.974,23.268,31.034,31.462,22.036,21.424,21.142,21.138,85.576,84.81,83.496,30.97,31.632,40.282,37.554,38.37,35.774,35.462,43.47,44.366,25.642,25.656,54.136,54.782,43.368,42.468,27.354,27.22,39.8,37.294,21.906,21.842,21.62,21.196,14.26,44.274,43.32,14.846,15.668,13.244,13.24,50.568,50.04,35.144,35.126,11.784,12.174,31.622,32.384,24.628,24.028,10.436,10.49,88.778,89.212,22.452,21.894,21.474,22.646,26.68,26.7,39.08,39.318,44.952,18.288,18.18,25.544,26.704,50.912,49.816,25.428,25.464,47.768,47.466,46.78,34.864,35.4,34.014,32.746,43.99,43.818,29.622,29.396,49.302,49.288,55.536,55.066
"2005",27.638,26.828,11.576,30.898,31.218,14.402,14.824,18.542,18.13,28.81,29.208,45.14,43.714,24.108,23.92,30.582,30.236,26.844,26.336,8.6,10.138,21.018,21.268,15.234,15.06,30.08,29.778,24.064,24.258,38.426,38.154,29.384,29.188,92.522,94.258,93.247,93.673,26.81,27.606,35.224,33.98,19.792,19.648,38.814,38.914,24.056,24.314,61.6494,60.6538,37.18,36.512,19.036,19.184,28.386,28.5,43.44,43.528,32.626,31.31,56.564,56.538,49.58,48.43,56.184,56.112,39.18,21.738,22.062,30.968,30.176,73.498,73.4,21.736,21.476,24.914,25.19,52.402,55.606,17.36,17.394,50.518,49.178,36.27,36.016,75.126,74.884,74.276,51.012,50.426,29.06,29.006,45.156,46.922,22.562,23.016,30.514,31.02,21.774,21.104,21.072,21.036,85.016,84.314,82.592,30.592,31.454,40.106,36.288,37.36,35.06,34.984,43.102,43.928,25.518,25.466,53.216,53.796,43.072,42.022,27.208,27.042,39.54,36.78,21.808,21.778,21.282,20.83,14,43.9,42.874,14.804,15.634,13.216,13.216,50.342,49.64,35.028,34.962,11.682,12.15,31.27,31.95,24.6,23.844,10.404,10.44,88.344,88.958,22.072,21.31,21.114,22.402,26.626,26.69,38.764,38.898,44.636,18.048,17.938,24.878,26.332,50.05,48.88,25.274,25.388,47.454,46.992,46.17,34.298,34.828,33.792,32.222,43.912,43.718,29.52,29.298,48.922,48.928,55.074,54.574
"2004",27.248,26.566,10.874,30.49,30.734,14.076,14.596,18.154,17.704,28.394,28.716,44.514,42.862,23.948,23.794,30.28,29.834,26.588,25.914,8.074,9.636,20.812,21.018,15.094,14.828,29.476,28.884,23.848,24.016,38.178,37.974,29.082,28.86,91.984,93.869,92.677,93.161,26.382,27.282,34.718,33.294,19.428,19.274,38.194,38.442,23.918,24.244,61.299,60.312,36.742,35.818,18.702,18.918,27.624,28.36,42.674,43.188,32.452,30.902,55.992,55.968,49.226,47.824,55.62,55.666,39.132,21.544,21.942,30.772,29.906,73.08,73.182,21.538,21.222,24.726,25.044,51.472,55.06,17.344,17.368,50.064,48.676,36.108,35.734,74.714,74.472,73.732,50.786,49.982,28.794,28.948,44.902,46.63,22.076,22.852,29.914,30.514,21.432,20.65,21.046,20.934,84.502,83.624,81.44,30.352,31.27,39.95,35.272,36.456,34.024,34.374,42.738,43.462,25.352,25.35,52.602,53.252,42.728,41.632,27.02,26.718,39.28,36.316,21.73,21.708,20.914,20.582,13.8,43.644,42.448,14.768,15.626,13.128,13.176,50.172,49.264,34.858,34.8,11.534,11.974,30.984,31.296,24.502,23.634,10.334,10.246,87.928,88.692,21.492,20.82,20.774,22.126,26.572,26.638,38.466,38.272,43.884,17.704,17.622,24.354,25.978,49.294,48.152,24.936,25.094,47.262,46.548,45.684,33.762,34.308,33.498,31.612,43.796,43.596,29.424,29.106,48.62,48.548,54.716,54.168
"2003",26.92,26.074,10.65,30.142,30.166,13.802,14.31,17.938,17.47,28.048,28.372,43.984,42.038,23.666,23.646,29.846,29.276,26.342,25.714,7.842,9.246,20.526,20.832,14.888,14.644,28.996,27.802,23.634,23.844,37.948,37.768,28.862,28.466,91.403,93.441,92.161,92.651,25.976,26.946,34.538,32.774,19.096,18.902,37.716,37.946,23.766,24.13,60.9486,59.974,36.356,35.248,18.478,18.74,27.304,28.13,41.954,42.98,32.304,30.494,55.362,55.318,48.878,47.194,54.916,55.132,38.856,21.29,21.878,30.47,29.566,72.564,72.97,21.374,21.102,24.524,24.884,50.44,54.476,17.222,17.296,49.634,48.13,35.986,35.554,74.318,74.124,73.098,50.63,49.684,28.478,28.846,44.492,46.106,21.774,22.726,29.458,30.21,21.08,20.144,20.898,20.874,83.96,82.548,80.078,30.084,31.07,39.796,34.23,35.694,33.02,33.856,42.264,43.068,25.262,25.2,51.942,52.574,42.296,41.228,26.88,26.568,38.956,36.032,21.636,21.536,20.518,20.326,13.616,43.488,42.042,14.74,15.618,13.08,13.152,49.972,48.97,34.712,34.648,11.46,11.872,30.714,30.512,24.41,23.478,10.196,10.172,87.35,88.412,21.132,20.188,20.496,21.852,26.552,26.59,38.216,37.884,42.594,17.352,17.354,23.738,25.522,48.636,47.452,24.718,24.924,47.072,46.196,45.084,33.446,33.774,33.292,31.354,43.676,43.49,29.31,29.028,48.32,48.244,54.21,53.66
"2002",26.362,25.524,10.146,29.704,29.66,13.498,13.492,17.57,17.168,27.592,27.826,43.208,41.216,23.418,23.472,29.37,28.794,26.004,25.298,7.798,9.038,20.23,20.648,14.714,14.442,28.554,26.9,23.454,23.73,37.728,37.594,28.488,28.074,90.784,93.004,91.605,92.187,25.532,26.512,33.882,32.268,18.848,18.462,37.136,37.42,23.604,24.038,60.757,59.7798,35.912,34.556,18.26,18.468,26.944,27.86,41.474,42.406,31.994,30.104,54.558,54.508,48.518,46.596,54.294,54.466,38.562,21.216,21.714,30.21,29.432,72.284,72.818,21.1,20.642,24.36,24.72,49.254,53.8,17.142,17.246,49.266,47.568,35.73,35.178,73.956,73.87,72.638,50.422,49.364,28.166,28.826,44.226,45.646,21.438,22.554,29.028,29.85,20.694,19.676,20.81,20.84,83.572,81.36,79.456,29.84,30.82,39.61,33.208,34.898,31.962,33.524,41.894,42.664,25.072,25.022,51.278,51.742,41.776,40.662,26.726,26.352,38.626,35.624,21.498,21.404,20.22,20.048,13.378,43.26,41.618,14.712,15.59,12.982,13.11,49.826,48.708,34.554,34.454,11.264,11.69,30.332,29.36,24.296,23.244,10.064,10.134,86.92,88.066,20.538,19.698,20.23,21.564,26.55,26.572,37.878,37.252,41.196,17.046,16.948,23.122,25.036,47.54,46.856,24.446,24.788,46.922,45.804,44.608,33.11,33.324,33.018,30.864,43.578,43.364,29.074,28.918,47.98,47.922,53.75,53.222
